Caribbean @ Keppel Bay,12 Keppel Bay Drive,Available from 24 Mar,11000,4,5,3541 sqft,S$ 3.11 psf,Condominium,Partially Furnished,2004,26m
Icon,10 Gopeng Street,Available from 14 Mar,3399,1,1,581 sqft,S$ 5.85 psf,Apartment,Fully Furnished,2007,26m
Marina Bay Residences,18 Marina Boulevard,Available from 15 Mar,6800,2,2,1055 sqft,S$ 6.45 psf,Condominium,Fully Furnished,2010,26m
269 Bishan Street 24,269 Bishan Street 24,Ready to move,2800,3,2,1140 sqft,S$ 2.46 psf,HDB Apartment,Fully Furnished,,26m
11 Upper Boon Keng Road,11 Upper Boon Keng Road,Ready to move,900,,,700 sqft,S$ 1.29 psf,HDB Apartment,Fully Furnished,,26m
The Peak @ Balmeg,15 Balmeg Hill,Ready to move,9000,5,5,2605 sqft,S$ 3.45 psf,Condominium,Partially Furnished,2011,26m
75B Redhill Road,75B Redhill Road,Ready to move,3200,3,2,1238 sqft,S$ 2.58 psf,HDB Apartment,Partially Furnished,,26m
249 Tampines Street 21,249 Tampines Street 21,Ready to move,800,,,100 sqft,S$ 8.00 psf,HDB Apartment,Fully Furnished,,27m
The Poiz Residences,2 Meyappa Chettiar Road,Ready to move,2500,1,1,527 sqft,S$ 4.74 psf,Apartment,Fully Furnished,2020,27m
117 Potong Pasir Avenue 1,Potong Pasir Avenue 1,Available from 30 Mar,1900,2,2,699 sqft,S$ 2.72 psf,HDB Apartment,Fully Furnished,,27m
Paterson Residence,83 Paterson Road,Ready to move,13800,5,5,3844 sqft,S$ 3.59 psf,Cluster House,Partially Furnished,2008,27m
City Gate,371 Beach Road,Ready to move,3200,1,1,452 sqft,S$ 7.08 psf,Apartment,Partially Furnished,2019,27m
City Gate,371 Beach Road,Ready to move,3488,2,2,570 sqft,S$ 6.12 psf,Apartment,Partially Furnished,2019,27m
City Gate,371 Beach Road,Ready to move,1788,1,1,200 sqft,S$ 8.94 psf,Apartment,Partially Furnished,2019,27m
Cairnhill Residences,31 Cairnhill Circle,Ready to move,4500,2,2,904 sqft,S$ 4.98 psf,Apartment,Partially Furnished,2010,27m
Nathan Residences,25 Nathan Road,Ready to move,3900,2,2,1238 sqft,S$ 3.15 psf,Condominium,Partially Furnished,2015,27m
Sommerville Park,77 Farrer Drive,Ready to move,3300,2,2,1100 sqft,S$ 3.00 psf,Condominium,Partially Furnished,1978,27m
Foresque Residences,109 Petir Road,Available from 1 Apr,2998,3,3,1130 sqft,S$ 2.65 psf,Condominium,Partially Furnished,2015,28m
Cairnhill Nine,15 Cairnhill Road,Available from 31 Mar,4500,1,1,603 sqft,S$ 7.46 psf,Condominium,Fully Furnished,2017,28m
The Cosmopolitan,200 Kim Seng Road,Available from 25 May,6000,2,2,1141 sqft,S$ 5.26 psf,Condominium,Partially Furnished,2008,28m
8 @ Mount Sophia,8 Mount Sophia,Available from 27 Apr,4000,1,1,861 sqft,S$ 4.65 psf,Condominium,Fully Furnished,2007,28m
Tiong Bahru Estate Walk up apartment,,Ready to move,2300,,,400 sqft,S$ 5.75 psf,Walk-up,Fully Furnished,,28m
Tiong Bahru Apartments,Tiong Bahru Apartments,Ready to move,2500,1,1,550 sqft,S$ 4.55 psf,Walk-up,Fully Furnished,,28m
2 Bedroom walk-up apartment @ Tiong Bahru,,,3500,2,1,700 sqft,S$ 5.00 psf,Walk-up,Fully Furnished,,28m
Chelsea Lodge,300 Tanjong Katong Road,Ready to move,2600,2,1,960 sqft,S$ 2.71 psf,Condominium,Partially Furnished,2000,28m
55 Tiong Bahru Road,55 Tiong Bahru Road,,4800,3,2,1050 sqft,S$ 4.57 psf,Walk-up,Partially Furnished,,28m
74 Tiong Poh Road,74 Tiong Poh Road,Ready to move,2700,1,1,550 sqft,S$ 4.91 psf,Walk-up,Fully Furnished,,28m
Terrene @ Bukit Timah,121 Jalan Jurong Kechil,,3900,3,3,1109 sqft,S$ 3.52 psf,Condominium,Fully Furnished,2014,28m
Espada,48 Saint Thomas Walk,Ready to move,2700,1,1,377 sqft,S$ 7.16 psf,Condominium,Fully Furnished,2013,28m
Seran Court,2A Wolskel Road,Ready to move,1700,,,350 sqft,S$ 4.86 psf,Apartment,Fully Furnished,1984,28m
14 JALAN KEMUNING,14 JALAN KEMUNING,Available from 7 Mar,2600,3,2,1300 sqft 1300 sqft (land),S$ 2.00 psf,Terraced House,Unfurnished,,28m
Paterson Residence,83 Paterson Road,Ready to move,9800,5,5,2013 sqft,S$ 4.87 psf,Condominium,Partially Furnished,2008,28m
127 Ang Mo Kio Avenue 3,127 Ang Mo Kio Avenue 3,Ready to move,850,,,150 sqft,S$ 5.67 psf,HDB Apartment,Fully Furnished,,28m
WALK-UP APARTMENT - ICB SHOPPING CENTRE,14a YIO CHU KANG ROAD,Ready to move,1450,1,1,500 sqft,S$ 2.90 psf,Apartment,Fully Furnished,,28m
Watertown,71 Punggol Central,Available from 20 Apr,2200,1,1,603 sqft,S$ 3.65 psf,Condominium,Partially Furnished,2017,28m
175A Punggol Field,175A Punggol Field,Ready to move,700,,,120 sqft,S$ 5.83 psf,HDB Apartment,Partially Furnished,,28m
D'leedon (former Farrer Court),13 Leedon Heights,Available from 15 Apr,3300,1,1,635 sqft,S$ 5.20 psf,Condominium,Fully Furnished,2014,28m
Bella Casita,7 Ipoh Lane,Ready to move,2150,1,1,517 sqft,S$ 4.16 psf,Condominium,Fully Furnished,2013,28m
305 Bukit Batok Street 31,305 Bukit Batok Street 31,Ready to move,1500,2,2,721 sqft,S$ 2.08 psf,HDB Apartment,Partially Furnished,,28m
North Park Residences,37 Yishun Central 1,Ready to move,3000,2,2,775 sqft,S$ 3.87 psf,Condominium,Partially Furnished,2020,28m
Rio Vista,22 Upper Serangoon View,Ready to move,800,,,150 sqft,S$ 5.33 psf,Condominium,Fully Furnished,2004,28m
The Blossomvale,900 Dunearn Road,Available from 13 Mar,4188,3,2,1352 sqft,S$ 3.10 psf,Condominium,Fully Furnished,1999,29m
The Shore Residences,81 Amber Road,Ready to move,6000,4,3,1473 sqft,S$ 4.07 psf,Condominium,Partially Furnished,2013,29m
Atrium Residences,1 Lorong 28 Geylang,Available from 1 Apr,5000,3,3,2271 sqft,S$ 2.20 psf,Apartment,Fully Furnished,2008,29m
The Shore Residences,81 Amber Road,Ready to move,6000,4,3,1473 sqft,S$ 4.07 psf,Condominium,Partially Furnished,2013,29m
Atrium Residences,1 Lorong 28 Geylang,Available from 1 Apr,5000,3,3,2271 sqft,S$ 2.20 psf,Apartment,Fully Furnished,2008,29m
The Residences @ W Sentosa Cove,1 Ocean Way,Ready to move,14500,4,4,3348 sqft,S$ 4.33 psf,Condominium,Partially Furnished,2012,29m
Sophia Hills,19 Mount Sophia,Ready to move,3200,1,1,570 sqft,S$ 5.61 psf,Condominium,Partially Furnished,2017,30m
The Rochester,33 Rochester Drive,Ready to move,3900,1,1,862 sqft,S$ 4.52 psf,Condominium,Fully Furnished,2011,30m
The Canopy,81 Yishun Avenue 11,Ready to move,2550,2,2,750 sqft,S$ 3.40 psf,Executive Condominium,Partially Furnished,2014,30m
307 Woodlands Avenue 1,307 Woodlands Avenue 1,Ready to move,1900,2,1,680 sqft,S$ 2.79 psf,HDB Apartment,,,30m
Palm Grove Regency,Palm Grove Avenue,Ready to move,7800,5,5,4144 sqft 4144 sqft (land),S$ 1.88 psf,Terraced House,Partially Furnished,2008,30m
Kallang Riverside,51 Kampong Bugis,Ready to move,4200,2,2,1033 sqft,S$ 4.07 psf,Condominium,Partially Furnished,2019,30m
Riveria Gardens,8 River Valley Grove,Ready to move,5900,3,3,1432 sqft,S$ 4.12 psf,Condominium,Partially Furnished,2010,30m
Sherwood Towers,3 Jalan Anak Bukit,Ready to move,1800,,,786 sqft,S$ 2.29 psf,Apartment,Fully Furnished,1980,30m
Envio,281 Joo Chiat Place,Ready to move,2300,1,1,732 sqft,S$ 3.14 psf,Condominium,Partially Furnished,2012,30m
The Shore Residences,83 Amber Road,Ready to move,5500,3,2,1292 sqft,S$ 4.26 psf,Condominium,Partially Furnished,2013,30m
159 Tampines Street 12,159 Tampines Street 12,Ready to move,750,,,125 sqft,S$ 6.00 psf,HDB Apartment,Fully Furnished,,30m
Duo Residences,1 Fraser Street,Available from 1 Apr,3500,1,1,530 sqft,S$ 6.60 psf,Apartment,Fully Furnished,2017,31m
430 Ang Mo Kio Avenue 3,430 Ang Mo Kio Avenue 3,Ready to move,2700,3,2,1200 sqft,S$ 2.25 psf,HDB Apartment,Fully Furnished,,31m
121 Bishan Street 12,121 Bishan Street 12,Ready to move,750,,,250 sqft,S$ 3.00 psf,HDB Apartment,Fully Furnished,,31m
The Residences @ W Sentosa Cove,1 Ocean Way,Ready to move,7500,3,3,1658 sqft,S$ 4.52 psf,Condominium,Partially Furnished,2012,31m
The Residences @ W Sentosa Cove,7 Ocean Way,Ready to move,9500,4,3,2067 sqft,S$ 4.60 psf,Condominium,Partially Furnished,2012,31m
Scotts 28,28 Scotts Road,Ready to move,14000,4,4,3605 sqft,S$ 3.88 psf,Condominium,Partially Furnished,1999,31m
The Solitaire,5B Balmoral Park,Ready to move,8500,4,4,2659 sqft,S$ 3.20 psf,Condominium,Partially Furnished,2011,31m
Tyrwhitt 139,139 Tyrwhitt Road,Ready to move,2100,1,1,366 sqft,S$ 5.74 psf,Apartment,Fully Furnished,2008,32m
Chelsea Gardens,6 Walshe Road,Ready to move,8000,3,4,2228 sqft,S$ 3.59 psf,Condominium,Fully Furnished,2000,32m
Marina Bay Suites,3 Central Boulevard,Ready to move,6000,3,2,1572 sqft,S$ 3.82 psf,Apartment,,2014,32m
The Poiz Residences,12 Meyappa Chettiar Road,Ready to move,2000,1,1,420 sqft,S$ 4.76 psf,Condominium,Partially Furnished,2020,33m
Levenue,55 Lengkong Empat,,1900,2,1,420 sqft,S$ 4.52 psf,Condominium,Partially Furnished,2016,33m
737 Tampines Street 72,737 Tampines Street 72,Ready to move,2895,4,2,1507 sqft,S$ 1.92 psf,HDB Apartment,Fully Furnished,,33m
Martin No 38,38 Martin Road,Ready to move,5800,2,1,969 sqft,S$ 5.99 psf,Apartment,Fully Furnished,2012,34m
*** Expat Favourite Home Near Serangoon Stadium,Hillside Drive,Ready to move,4600,4,3,2200 sqft 1600 sqft (land),S$ 2.88 psf,Corner Terrace,Partially Furnished,,34m
Yong An Park,325 River Valley Road,Ready to move,18000,4,6,6878 sqft,S$ 2.62 psf,Condominium,Partially Furnished,1986,34m
*** Expat Favourite Home Near Serangoon Stadium,Hillside Drive,Ready to move,4600,4,3,2200 sqft 1600 sqft (land),S$ 2.88 psf,Corner Terrace,Partially Furnished,,34m
Yong An Park,325 River Valley Road,Ready to move,18000,4,6,6878 sqft,S$ 2.62 psf,Condominium,Partially Furnished,1986,35m
622 Bedok Reservoir Road,622 Bedok Reservoir Road,Available from 1 May,2500,3,2,1033 sqft,S$ 2.42 psf,HDB Apartment,Fully Furnished,,35m
The Waterina,51 Lorong 40 Geylang,Ready to move,4000,4,3,1292 sqft,S$ 3.10 psf,Apartment,Partially Furnished,2005,35m
simple 2 storey terrace,Jalan setia,Ready to move,3000,2,2,1200 sqft 883 sqft (land),S$ 3.40 psf,Terraced House,Fully Furnished,,36m
116 Lorong 2 Toa Payoh,116 Lorong 2 Toa Payoh,Ready to move,750,,,150 sqft,S$ 5.00 psf,HDB Apartment,,,36m
Casa Cambio,11 Lim Tua Tow Road,Ready to move,2700,2,2,797 sqft,S$ 3.39 psf,Condominium,Partially Furnished,2015,36m
543 Serangoon North Avenue 3,543 Serangoon North Avenue 3,Ready to move,2400,2,3,1603 sqft,S$ 1.50 psf,HDB Apartment,Partially Furnished,,36m
Goodwood Residence,261 Bukit Timah Road,Ready to move,11500,4,4,2605 sqft,S$ 4.41 psf,Condominium,Partially Furnished,2013,36m
? EXTREMELY WELL KEPT 2 STY TERRACE FOR RENT @ SUNRISE ?,SUNRISE / SELETAR / CACTUS,Ready to move,3148,4,3,2500 sqft 1900 sqft (land),S$ 1.66 psf,Terraced House,Partially Furnished,,36m
76 Shenton,76 Shenton Way,Ready to move,3700,1,1,624 sqft,S$ 5.93 psf,Apartment,Fully Furnished,2014,36m
Skyline Residences,610 Telok Blangah Road,Available from 20 Mar,3900,2,2,829 sqft,S$ 4.70 psf,Condominium,Partially Furnished,2015,36m
Centro Residences,59 Ang Mo Kio Avenue 8,Available from 17 Apr,3900,3,2,1001 sqft,S$ 3.90 psf,Condominium,Fully Furnished,2014,36m
Thomson Grand,23 Sin Ming Walk,,3400,3,3,1356 sqft,S$ 2.51 psf,Condominium,,2015,36m
Eleven @ Holland,11 Holland Link,,8500,4,5,3788 sqft,S$ 2.24 psf,Cluster House,Partially Furnished,2014,36m
Vista Residences,26 Jalan Datoh,Ready to move,4500,3,3,1216 sqft,S$ 3.70 psf,Condominium,Partially Furnished,2013,36m
Sant Ritz,1 Pheng Geck Avenue,Ready to move,2200,1,1,527 sqft,S$ 4.17 psf,Condominium,Partially Furnished,2016,36m
1 Moulmein Rise,1 Moulmein Rise,,4700,3,2,1238 sqft,S$ 3.80 psf,Apartment,Partially Furnished,2003,36m
Skies Miltonia,Miltonia Close,Ready to move,2100,1,1,721 sqft,S$ 2.91 psf,Condominium,,2016,36m
City Square Residences,6 Kitchener Link,,4200,3,3,1196 sqft,S$ 3.51 psf,Condominium,Fully Furnished,2009,37m
City Square Residences,6 Kitchener Link,,4200,3,3,1190 sqft,S$ 3.53 psf,Condominium,,2009,37m
Euhabitat,Jalan Eunos,Ready to move,2100,1,1,538 sqft,S$ 3.90 psf,Condominium,Unfurnished,2016,37m
Wallich Residence,3 Wallich Street,Ready to move,7800,2,2,958 sqft,S$ 8.14 psf,Condominium,Partially Furnished,2016,37m
South Beach Residences,38 South Beach Road,Ready to move,12500,2,2,1261 sqft,S$ 9.91 psf,Condominium,Partially Furnished,2016,37m
Cote D'azur,64 Marine Parade Road,Available from 15 Mar,3500,2,2,1152 sqft,S$ 3.04 psf,Condominium,Fully Furnished,2005,37m
The Tate Residences,23 Claymore Road,Ready to move,40000,6,6,6566 sqft,S$ 6.09 psf,Condominium,Partially Furnished,2010,37m
Cove Way Water Villa Bungalow (Almost New with Pool),cove way,Ready to move,27000,6,6,8095 sqft 13000 sqft (land),S$ 2.08 psf,Detached House,Partially Furnished,,37m
10 Tanglin,10 Tanglin Road,Ready to move,3800,2,2,883 sqft,S$ 4.30 psf,Condominium,Partially Furnished,2005,37m
Sage,11A Nassim Road,,19000,4,4,2852 sqft,S$ 6.66 psf,Condominium,Partially Furnished,2013,37m
Mandarin Gardens,5 Siglap Road,Ready to move,4200,3,3,1527 sqft,S$ 2.75 psf,Condominium,Partially Furnished,1986,37m
10 Tanglin,10 Tanglin Road,Ready to move,3800,2,2,883 sqft,S$ 4.30 psf,Condominium,Partially Furnished,2005,38m
Sage,11A Nassim Road,,19000,4,4,2852 sqft,S$ 6.66 psf,Condominium,Partially Furnished,2013,38m
Mandarin Gardens,5 Siglap Road,Ready to move,4200,3,3,1527 sqft,S$ 2.75 psf,Condominium,Partially Furnished,1986,38m
Fulcrum,33 Fort Road,Ready to move,2300,1,1,474 sqft,S$ 4.85 psf,Condominium,Fully Furnished,2016,38m
666 Jalan Damai,666 Jalan Damai,Ready to move,2450,3,2,1130 sqft,S$ 2.17 psf,HDB Apartment,Fully Furnished,,38m
Duo Residences,1 Fraser Street,Available from 1 May,5500,2,2,1109 sqft,S$ 4.96 psf,Apartment,Partially Furnished,2017,39m
North Park Residences,21 Yishun Central 1,Ready to move,1600,1,1,142 sqft,S$ 11.27 psf,Condominium,Partially Furnished,2020,39m
The Amarelle,49 Lim Ah Woo Road,Available from 15 Mar,2950,2,2,915 sqft,S$ 3.22 psf,Apartment,Partially Furnished,2009,40m
Newton One,1 Newton Road,Ready to move,7700,4,4,1916 sqft,S$ 4.02 psf,Condominium,Partially Furnished,2008,40m
East Grove,420 East Coast Road,Available from 29 Mar,2500,3,2,1100 sqft,S$ 2.27 psf,Condominium,Partially Furnished,1970,40m
430b east coast east,430 east coast road,Available from 29 Mar,2600,3,2,1100 sqft,S$ 2.36 psf,Walk-up,Unfurnished,1995,40m
31 Bedok South Avenue 2,31 Bedok South Avenue 2,Ready to move,2000,2,2,1270 sqft,S$ 1.57 psf,HDB Apartment,Partially Furnished,,40m
15 Bedok South Road,15 Bedok South Road,Ready to move,600,3,2,150 sqft,S$ 4.00 psf,HDB Apartment,,,40m
Casa Merah,50 Tanah Merah Kechil Avenue,Ready to move,3200,2,2,947 sqft,S$ 3.38 psf,Condominium,Fully Furnished,2009,40m
Meyer Road,Meyer Road,Ready to move,6888,4,4,5000 sqft 4067 sqft (land),S$ 1.69 psf,Semi-Detached House,Unfurnished,,40m
Semi-D near Kembangan MRT 5 minutes,Kembangan MRT,Available from 24 Apr,9500,5,6,4000 sqft 3390 sqft (land),S$ 2.80 psf,Semi-Detached House,Partially Furnished,,40m
Sims Edge,1 Geylang East Avenue 2,Available from 6 Apr,1900,1,1,409 sqft,S$ 4.65 psf,Condominium,Fully Furnished,2016,40m
Clover By The Park,2 Bishan Street 25,Ready to move,3800,3,2,1216 sqft,S$ 3.12 psf,Condominium,Fully Furnished,2012,40m
28 Jalan Klinik,28 Jalan Klinik,Ready to move,650,,,120 sqft,S$ 5.42 psf,HDB Apartment,Fully Furnished,,41m
The Jade,9 Bukit Batok Central Link,Ready to move,3800,3,3,1335 sqft,S$ 2.85 psf,Condominium,Partially Furnished,2004,41m
Altez,16 Enggor Street,Ready to move,5250,1,2,840 sqft,S$ 6.25 psf,Condominium,Fully Furnished,2014,41m
The Sail @ Marina Bay,4 Marina Boulevard,Ready to move,4500,2,2,882 sqft,S$ 5.10 psf,Apartment,Partially Furnished,2008,41m
Dover Parkview,30 Dover Rise,Ready to move,4300,3,2,1249 sqft,S$ 3.44 psf,Condominium,Fully Furnished,1997,41m
261 Serangoon Central Drive,261 Serangoon Central Drive,Ready to move,2200,2,2,700 sqft,S$ 3.14 psf,HDB Apartment,Fully Furnished,,41m
Dalvey Road,Dalvey Road,Ready to move,70000,6,6,20000 sqft 48901 sqft (land),S$ 1.43 psf,Good Class Bungalow,Partially Furnished,,41m
Emerald Garden,33 Club Street,Ready to move,5000,3,3,1500 sqft,S$ 3.33 psf,Condominium,Partially Furnished,1998,41m
The Oliv @ Balmoral,11C Balmoral Road,Ready to move,25000,4,4,5414 sqft,S$ 4.62 psf,Apartment,Partially Furnished,2013,41m
The Oliv @ Balmoral,11C Balmoral Road,Ready to move,17000,4,4,3337 sqft,S$ 5.09 psf,Apartment,Partially Furnished,2013,41m
The Bayshore,22 Bayshore Road,Ready to move,14500,5,4,4090 sqft,S$ 3.55 psf,Condominium,Partially Furnished,1999,41m
Sky Green,568 Macpherson Green,Available from 1 Apr,3300,3,2,1152 sqft,S$ 2.86 psf,Condominium,Partially Furnished,2016,41m
Sky Green,568 Macpherson Green,Available from 1 Apr,3300,3,2,1152 sqft,S$ 2.86 psf,Condominium,Partially Furnished,2016,42m
Jalan Tupai Brand New (6+1+S+Pool),Jalan Tupai,,18000,6,7,2700 sqft 4850 sqft (land),S$ 3.71 psf,Semi-Detached House,Partially Furnished,,42m
Dunearn Road (7+1+S/Pool) *BRAND NEW*,Dunearn Road,Ready to move,14500,7,7,6100 sqft 3800 sqft (land),S$ 3.82 psf,Semi-Detached House,Partially Furnished,,42m
Villa Madeleine,Oxley Road,Ready to move,13500,4,5,4147 sqft,S$ 3.26 psf,Town House,Partially Furnished,,42m
One Shenton,1 Shenton Way,,26000,4,4,7040 sqft,S$ 3.69 psf,Apartment,Partially Furnished,2011,42m
One Shenton,1 Shenton Way,,21000,4,4,5457 sqft,S$ 3.85 psf,Condominium,Partially Furnished,2011,42m
1 Moulmein Rise,1 Moulmein Rise,Available from 16 Mar,4700,3,2,1238 sqft,S$ 3.80 psf,Apartment,Partially Furnished,2003,42m
The Poiz Residences,10 Meyappa Chettiar Road,Available from 15 Apr,2800,2,1,581 sqft,S$ 4.82 psf,Apartment,Partially Furnished,2020,42m
The Poiz Residences,12 Meyappa Chettiar Road,Ready to move,2100,1,1,420 sqft,S$ 5.00 psf,Apartment,,2020,42m
The Octet,19 Lorong 24 Geylang,,1700,1,1,431 sqft,S$ 3.94 psf,Apartment,Partially Furnished,2017,42m
Heritage View,10 Dover Rise,Ready to move,9999,5,4,2600 sqft,S$ 3.85 psf,Condominium,Partially Furnished,2000,42m
Brighton Avenue,Brighton Avenue,Ready to move,8000,5,4,5800 sqft 2623 sqft (land),S$ 3.05 psf,Semi-Detached House,Fully Furnished,1999,42m
The Sail @ Marina Bay,2 Marina Boulevard,Available from 2 Jun,5800,2,2,1032 sqft,S$ 5.62 psf,Apartment,Partially Furnished,2008,42m
Queen Astrid Park,Queen Astrid Park,Ready to move,50000,5,6,27000 sqft 12000 sqft (land),S$ 4.17 psf,Detached House,Partially Furnished,,42m
Tanglin Road - GCB Very Good Rate For Rent,Tanglin Road,Ready to move,25000,5,5,12000 sqft 42000 sqft (land),S$ 0.60 psf,Good Class Bungalow,Partially Furnished,,42m
Tanglin Road G00D CLASS BUNGALOW,Tanglin Road,Ready to move,25000,5,7,18000 sqft 40000 sqft (land),S$ 0.62 psf,Good Class Bungalow,Partially Furnished,,42m
The Sail @ Marina Bay,2 Marina Boulevard,Available from 15 Mar,5700,2,2,1033 sqft,S$ 5.52 psf,Apartment,Partially Furnished,2008,42m
707 Yishun Avenue 5,707 Yishun Avenue 5,Ready to move,650,,,130 sqft,S$ 5.00 psf,HDB Apartment,Fully Furnished,,43m
Braddell View,10B Braddell Hill,Ready to move,2800,3,3,1615 sqft,S$ 1.73 psf,Apartment,Partially Furnished,1981,43m
305 Shunfu Road,305 Shunfu Road,Ready to move,2000,2,2,721 sqft,S$ 2.77 psf,HDB Apartment,Fully Furnished,,43m
Hillview Green,61 Hume Avenue,Ready to move,3500,4,3,1712 sqft,S$ 2.04 psf,Condominium,Partially Furnished,1998,43m
Lor H Telok Kurau,Lor H Telok Kurau,Ready to move,7000,6,6,4112 sqft 4188 sqft (land),S$ 1.67 psf,Semi-Detached House,Partially Furnished,,43m
Rv Point,233 River Valley Road,Ready to move,2500,2,1,464 sqft,S$ 5.39 psf,Condominium,Fully Furnished,2014,43m
Luma,6 River Valley Grove,Ready to move,4000,2,2,1173 sqft,S$ 3.41 psf,Condominium,Partially Furnished,2011,43m
Watertown,69 Punggol Central,Ready to move,2400,1,1,530 sqft,S$ 4.53 psf,Condominium,Fully Furnished,2017,43m
Citylife @ Tampines,,Ready to move,3400,3,3,1218 sqft,S$ 2.79 psf,Executive Condominium,Partially Furnished,2016,43m
656 Woodlands Ring Road,656 Woodlands Ring Road,Ready to move,2400,3,3,1550 sqft,S$ 1.55 psf,HDB Apartment,Fully Furnished,,43m
North Park Residences,15 Yishun Central 1,Ready to move,2988,2,1,872 sqft,S$ 3.43 psf,Condominium,Partially Furnished,2020,43m
Maple Woods,985 Bukit Timah Road,Ready to move,2900,2,2,915 sqft,S$ 3.17 psf,Condominium,Partially Furnished,1997,44m
The Clift,21 McCallum Street,Ready to move,6300,2,2,1076 sqft,S$ 5.86 psf,Apartment,,2011,44m
Maple Woods,985 Bukit Timah Road,Ready to move,2900,2,2,915 sqft,S$ 3.17 psf,Condominium,Partially Furnished,1997,44m
The Clift,21 McCallum Street,Ready to move,6300,2,2,1076 sqft,S$ 5.86 psf,Apartment,,2011,44m
Northoaks,20 Woodlands Cresent,Ready to move,700,,,1230 sqft,S$ 0.57 psf,Condominium,,2001,44m
The Estuary @ Yishun,1 Yishun Avenue 1,Ready to move,1800,1,1,688 sqft,S$ 2.62 psf,Condominium,,2013,44m
Euhabitat,Jalan Eunos,Available from 1 Apr,2100,,,527 sqft,S$ 3.98 psf,Condominium,Partially Furnished,2016,44m
Stone Avenue Almost New With Pool- 5 Mins Walk to King Albert Park MRT,Stone Avenue,Ready to move,16200,7,6,5680 sqft 2800 sqft (land),S$ 5.79 psf,Semi-Detached House,Partially Furnished,,44m
148 Mei Ling Street,148 Mei Ling Street,Ready to move,850,,,300 sqft,S$ 2.83 psf,HDB Apartment,Fully Furnished,,44m
The Club Residences by Capella Singapore,1 The Knolls Sentosa Island Singapore,Ready to move,35000,3,3,5604 sqft,S$ 6.25 psf,Apartment,Fully Furnished,2015,45m
Rhapsody On Mount Elizabeth,16 Mount Elizabeth,Ready to move,6500,3,3,1561 sqft,S$ 4.16 psf,Apartment,Partially Furnished,2010,45m
Reflections @ Keppel Bay,1 Keppel Bay View,Available from 31 Mar,8000,3,3,1841 sqft,S$ 4.35 psf,Condominium,Fully Furnished,2013,45m
